GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Operator Common Library,org.entando.kubernetes.controller.k8sclient,EntandoResourceClient,14,0,0,0,2,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.k8sclient,PodWaitingClient,35,47,1,3,7,10,1,2,0,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.k8sclient,UnauthorizedExcepion,5,0,0,0,2,0,1,0,1,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.k8sclient,DuplicateExcepion,5,0,0,0,2,0,1,0,1,0
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultDeploymentClient,59,65,3,1,9,11,4,3,2,3
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultSimpleK8SClient,0,110,0,16,0,27,0,17,0,9
Entando K8S Operator Common Library,org.entando.kubernetes.client,KubernetesClientProducer,29,0,0,0,4,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultSecretClient,21,74,0,0,6,13,0,5,0,5
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultPodClient,0,137,0,6,0,17,0,12,0,9
Entando K8S Operator Common Library,org.entando.kubernetes.client,PodWatcher,5,88,3,9,2,21,3,11,0,8
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultServiceAccountClient,44,79,0,2,8,12,3,8,3,7
Entando K8S Operator Common Library,org.entando.kubernetes.client,PatchableClient,5,45,1,1,1,7,1,2,0,2
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultPersistentVolumeClaimClient,0,57,0,2,0,11,0,4,0,3
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultKeycloakClient,149,557,17,13,30,144,18,23,5,21
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultEntandoResourceClient,210,202,4,0,30,37,13,13,11,13
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultServiceClient,51,45,2,0,6,7,2,3,1,3
Entando K8S Operator Common Library,org.entando.kubernetes.client,KubernetesExceptionProcessor,139,0,10,0,17,0,8,0,3,0
Entando K8S Operator Common Library,org.entando.kubernetes.client,DefaultIngressClient,33,89,1,1,5,16,3,6,2,6
Entando K8S Operator Common Library,org.entando.kubernetes.client,KubernetesRestInterceptor,203,0,14,0,34,0,14,0,7,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,IngressCreator,66,297,8,16,7,59,9,17,1,13
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,PersistentVolumeClaimCreator,0,106,0,0,0,23,0,7,0,7
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,ServiceCreator,125,124,1,1,25,27,5,7,4,7
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,KeycloakClientCreator,24,199,3,11,2,44,3,11,0,7
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,ServiceAccountCreator,0,147,0,0,0,39,0,7,0,7
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,SecretCreator,68,133,6,12,13,31,6,11,1,7
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,AbstractK8SResourceCreator,0,135,2,2,0,28,2,7,0,7
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,DeploymentCreator,47,698,6,30,7,140,7,34,1,22
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,DatabasePreparationPodCreator,105,388,1,5,14,66,6,14,5,12
Entando K8S Operator Common Library,org.entando.kubernetes.controller.creators,IngressPathCreator,0,121,0,2,0,22,0,9,0,8
